Ticker,YF Ticker,Sector,Price (Rs),Mkt Cap (LCr),Mkt Cap Raw,P/E,Fwd P/E,PEG,PEG Method,Earn Traj,52W Pos%,ROIC%,ROE%,Int Coverage,Op Margin%,Debt/Eq,Quality Score,Momentum Score,Ret 1Mo%,Ret 3Mo%,Ret 6Mo%,Trailing Vol%,Eligible,Data Sources,Rev Q1 (1000Cr),Rev Q2 (1000Cr),Rev Q3 (1000Cr),Rev Q4 (1000Cr),Rev Growth% (CAGR),MC% of Index,Score,Rank,Conviction Score
ADANIENT,ADANIENT.NS,Materials,3060.0,4.354298609664,4354298609664.0,53.18964,46.476307,,—,-0.6678316367268966,87.60053619302948,0.8388798477368289,,2.6254350522688417,9.395000000000001,119.56,22.493632543076206,1.5133635343097178,3.207531477911729,3.9543381737359606,56.1046474155088,34.95334381882324,True,PE:Yahoo | FwdPE:Yahoo | ROIC:Computed | IC:Yahoo | ET:Yahoo,3.292398,3.243931,2.481959,,,2.29500961937187,40.85,5,25.561361005701176
ADANIPORTS,ADANIPORTS.NS,Industrials,1764.6,4.065566130176,4065566130176.0,30.122908,22.573994,,—,0.012059973924380737,78.88499415790352,1.191649059237946,,6.694815494072832,44.629999999999995,64.051,63.265936904983256,0.8441651939289363,5.981980515671914,-2.227397614948523,27.347240780990557,25.309335683315577,True,PE:Yahoo | FwdPE:Yahoo | ROIC:Computed | IC:Yahoo | ET:Yahoo,1.08208,1.073758,0.970459,0.912614,5.841848095804725,2.1428280908980604,53.58,3,22.860431838258133
APOLLOHOSP,APOLLOHOSP.NS,Health Care,8836.0,1.270481158144,1270481158144.0,60.975777,40.553112,1.186247493877551,Yahoo EPS growth,0.17093023255813952,90.90715954960696,0.8233225457736881,,10.769727604605448,12.167,85.146,49.30304406423983,0.7824728270396436,2.899685343904057,4.4610727665282734,16.790368322050007,17.752288000465203,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.70435,0.66055,0.64774,0.58421,6.4322338571360715,0.6696294261261493,31.5,5,19.146452329895975
ASIANPAINT,ASIANPAINT.NS,Consumer Discretionary,2472.5,2.370248114176,2370248114176.0,49.74849,40.809208,0.7437460227768012,Yahoo EPS growth,0.27434908389585344,41.058918111864024,2.3002867533003633,,37.45545263804309,17.687,17.847,59.662616566511865,1.2737145820044646,-10.270368354200688,-9.248159331878004,13.526555155948007,18.683089482024382,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,1.052144,0.922846,0.884972,0.85137,7.312986175343195,1.2492809313212703,44.98390161051489,4,33.140847435802876
AXISBANK,AXISBANK.NS,Financials,1246.0,3.879329071104,3879329071104.0,14.025214,9.849802,0.54,Yahoo,0.10918114143920601,45.86867734841345,1.5350000000000001,13.352998999999999,,49.181998,,38.788130987179954,-0.01385302129850568,1.300813008130075,-8.8678731153926,1.0093881080007083,21.036919950509468,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo) | ROIC:ROA-proxy | ET:Yahoo,2.299812,2.206298,2.211329,2.216231,1.2416241073970546,2.044668575355155,41.77856110828281,5,43.62964139507613
BAJAJ-AUTO,BAJAJ-AUTO.NS,Consumer Discretionary,11678.0,3.206518669312,3206518669312.0,27.777645,24.520351,1.31,Yahoo,0.2598684210526316,80.09299987432449,3.0259166001008757,,13.608196300102774,21.514,56.352,64.78096196144612,1.5057685535665473,0.14578509561786746,17.496730053325283,33.43490431747724,22.107726411878588,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo) | ROIC:Computed | IC:Yahoo | ET:Yahoo,2.087023,1.710796,1.537824,1.525364,11.015745821529578,1.6900520268485641,56.11976112451106,3,42.0323706504365
BAJFINANCE,BAJFINANCE.NS,Financials,1034.5,6.435534536704,6435534536704.0,31.772112,20.47806,0.908207745762712,Yahoo EPS growth,0.11273885350318469,63.47490347490346,,,,61.55199999999999,314.833,0.0,0.9240223138605875,-5.161353713598526,8.462386902947273,21.73081171551963,29.103372316586206,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ET:Yahoo,1.417089,1.316266,1.286654,1.233376,4.737099926375277,3.3919615973869255,42.1,4,43.9866876610376
BAJAJFINSV,BAJAJFINSV.NS,Financials,1913.5,3.062068412416,3062068412416.0,30.30087,20.15821,0.5167832018181816,Yahoo EPS growth,0.19503546099290786,52.92642140468228,9.580207429557387,,1.9522300754681425,40.222,256.404,9.761150377340714,0.6622373697240724,-5.506172839506174,7.152282108805341,10.191762614286382,23.70439387969491,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,3.685928,3.348255,3.261945,3.156428,5.305321917186978,1.6139169798948967,28.03762277698132,11,28.366551431729214
BEL,BEL.NS,Industrials,404.35,2.955709251584,2955709251584.0,48.07967,35.83078,4.332267036363641,Yahoo EPS growth,0.041353383458646566,25.69892473118283,1.967454424398209,,100.0,22.134999999999998,0.273,62.337393633022316,-0.3122468096826573,-1.4981714729560003,-0.6504858511154343,-7.851856828335224,20.348279496711598,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.554698,1.022443,0.715385,0.443974,7.704294616673302,1.5578585146633182,82.4541987107099,1,46.53970910299176
BHARTIARTL,BHARTIARTL.NS,Communication Services,1831.1,11.4236063744,11423606374400.0,38.315544,22.273615,0.7324592624999998,Yahoo EPS growth,0.15204678362573104,20.875576036866338,0.6383833172458063,20.151,6.650549807763443,32.573003,100.415,54.105056538868645,0.37314380368136973,-5.569594211735563,0.061783287680716725,2.8138424585444355,22.46703975135194,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,5.85391,5.53832,5.39816,4.94626,5.776623543948323,6.021012536664056,50.94416300393979,1,30.99310478591403
